time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-01T05:00:56.400Z,18.4591,-65.1015,14,2.6,Md,11,190.8,0.1760698,0.18,pr,pr14244000,2014-09-01T13:03:38.987Z,"22km NW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-09-01T04:24:15.760Z,-24.9507,-175.7849,10,5.2,mb,,105,4.684,1.01,us,usc000s8mi,2014-09-01T12:26:53.309Z,"South of Tonga",earthquake
2014-09-01T04:19:13.700Z,36.3911,-89.5207,6.9,2.9,mblg,48,50.3999959680003,0.04491576,0.07,nm,nm60075996,2014-09-02T10:34:31.321Z,"4km WNW of Tiptonville, Tennessee",earthquake
2014-09-01T02:49:48.450Z,19.343,121.7165,59.99,5,mb,,98,3.507,0.65,us,usc000s8m8,2014-09-01T10:52:17.978Z,"99km NE of Namuac, Philippines",earthquake
2014-09-01T02:10:34.000Z,65.1601,-148.9379,14.3,3.2,ml,,,,0.85,ak,ak11375962,2014-09-01T06:10:24.514Z,"55km NW of Ester, Alaska",earthquake
2014-09-01T00:35:04.000Z,60.2405,-151.456,41.8,2.8,ml,,,,0.73,ak,ak11375888,2014-09-01T08:37:33.720Z,"16km SSW of Cohoe, Alaska",earthquake
2014-09-01T00:19:37.000Z,51.677,178.6052,91.4,2.6,ml,,,,0.21,ak,ak11375886,2014-09-01T08:22:09.274Z,"31km SSE of Little Sitkin Island, Alaska",earthquake
2014-08-31T23:36:42.960Z,50.4069,-174.4934,34.02,4.3,mb,,197,1.806,0.64,us,usc000s8ln,2014-09-01T07:40:00.935Z,"200km S of Atka, Alaska",earthquake
2014-08-31T22:08:14.000Z,63.004,-150.6482,100,2.8,ml,,,,0.65,ak,ak11375499,2014-09-01T06:10:49.604Z,"80km NNW of Talkeetna, Alaska",earthquake
2014-08-31T22:04:51.800Z,35.5875,-97.3212,5.289,3.1,ml,,51,,0.31,us,usc000s94b,2014-09-04T05:41:57.671Z,"3km NW of Jones, Oklahoma",earthquake
2014-08-31T21:58:19.000Z,65.1561,-149.1115,14.8,3.9,ml,,,,0.98,ak,ak11375355,2014-09-01T20:10:04.397Z,"62km NW of Ester, Alaska",earthquake
2014-08-31T21:24:55.000Z,51.7428,178.1905,121.8,3,ml,,,,0.84,ak,ak11375326,2014-09-01T05:27:23.969Z,"31km SW of Little Sitkin Island, Alaska",earthquake
2014-08-31T20:33:17.030Z,-32.8008,-72.2377,10,4.8,mb,,137,1.03,1.18,us,usc000s8k6,2014-09-01T15:26:29.000Z,"62km WNW of Valparaiso, Chile",earthquake
2014-08-31T19:16:19.370Z,-42.2344,-82.0665,10,4.4,mb,,295,7.159,1.07,us,usc000s8jl,2014-09-01T03:18:45.980Z,"West Chile Rise",earthquake
2014-08-31T18:51:43.190Z,-19.3019,-173.521,35,4.8,mb,,112,3.403,0.59,us,usc000s8jd,2014-09-01T03:23:21.111Z,"87km SE of Neiafu, Tonga",earthquake
